,Rooms,Price,Total Space,Living Space,Kitchen Space,City center distance,Metro distance,Walk,Telephone,Balcon,Floor,Floor Number,Market Type
4571,2,14661025.0,45.0,0.0,1.0,4.5117365621764955,13.0,1.0,1.0,1.0,5.0,21.0,0.0
4572,3,14700000.0,65.0,45.0,12.0,2.578717936215865,5.0,1.0,1.0,0.0,2.0,6.0,0.0
4573,3,14700000.0,65.0,36.0,7.0,4.025209729390205,3.0,1.0,1.0,0.0,1.0,5.0,0.0
4574,2,14500000.0,77.0,42.0,15.0,3.4708473250318126,11.0,1.0,0.0,0.0,2.0,4.0,0.0
4575,1,14400000.0,37.0,20.0,10.0,1.455225400764374,7.0,1.0,0.0,0.0,6.0,24.0,0.0
4576,2,14700000.0,65.0,36.0,23.0,2.578717936215865,5.0,1.0,1.0,0.0,2.0,6.0,0.0
4577,2,14700000.0,65.0,34.0,8.0,2.3272524419919822,5.0,1.0,0.0,1.0,1.0,5.0,0.0
4578,1,14723200.0,43.0,0.0,1.0,4.0793683027816625,5.0,1.0,0.0,0.0,9.0,10.0,0.0
4579,2,14790000.0,51.0,30.0,10.0,3.555832608345123,0.0,0.0,0.0,0.0,5.0,11.0,0.0
4580,2,14800000.0,52.0,29.0,8.0,3.5303883021384603,0.0,0.0,0.0,0.0,3.0,9.0,0.0
4581,1,14800000.0,50.0,30.0,15.0,5.170879064417798,10.0,1.0,1.0,0.0,6.0,20.0,0.0
4582,1,14800000.0,50.0,30.0,15.0,5.170879064417798,10.0,1.0,1.0,0.0,6.0,22.0,0.0
4583,2,14835200.0,60.0,28.0,12.0,2.682218423183688,10.0,1.0,1.0,0.0,2.0,19.0,0.0
4584,3,14850000.0,67.0,42.0,8.0,3.962297909737466,12.0,1.0,0.0,0.0,3.0,5.0,0.0
4585,2,14900000.0,42.0,23.0,8.0,2.6963555569186024,5.0,1.0,0.0,0.0,6.0,6.0,0.0
4586,1,14900000.0,44.0,20.0,10.0,4.981327900954007,15.0,1.0,0.0,0.0,2.0,11.0,0.0
4587,2,14900000.0,60.0,36.0,8.0,4.025252214209959,7.0,1.0,1.0,0.0,8.0,9.0,0.0
4588,1,14961100.0,46.0,16.0,20.0,2.682218423183688,10.0,1.0,1.0,0.0,18.0,19.0,0.0
4589,2,14968983.0,48.0,32.0,5.0,2.9535529068609896,8.0,1.0,1.0,0.0,2.0,11.0,0.0
4590,2,14990000.0,57.0,33.0,10.0,3.9011591825887475,10.0,1.0,0.0,0.0,7.0,7.0,0.0
4591,2,15000000.0,55.0,34.0,7.0,3.9573072201152697,1.0,1.0,0.0,0.0,12.0,12.0,0.0
4592,3,35999999.0,85.0,57.0,14.0,1.6553163561046464,8.0,1.0,0.0,0.0,2.0,6.0,0.0
4593,4,64865000.0,154.0,86.0,18.0,3.510958734195867,7.0,1.0,0.0,0.0,3.0,12.0,0.0
4594,4,38000000.0,90.0,66.0,9.0,2.3705611885730002,7.0,1.0,1.0,0.0,3.0,7.0,0.0
4595,2,15000000.0,53.0,31.0,12.0,3.099689963109892,5.0,1.0,0.0,0.0,2.0,13.0,0.0
